question_id,category,difficulty,model,judge_score,judge_explanation
Q001,CONCEPT,easy,football-dpo-v2,6,"The response provides an accurate and detailed definition of offside (3 points) and uses simple, accessible language (2 points), but it lacks concrete match examples (0 points) and doesn't explain when/why teams would use offside tactics strategically, such as the offside trap (1 point for partial mention)."
Q002,CONCEPT,medium,football-dpo-v2,6,"The response provides a detailed and accurate definition of pressing (3/3 points) and explains when/why teams use it (2/2 points), but it uses overly technical language that would challenge non-experts (0/2 points) and lacks concrete real-match examples of pressing in action, only mentioning player names without illustrating how they actually execute pressing strategies in games (1/3 points)."
Q003,CONCEPT,hard,football-dpo-v2,6,"The response provides accurate definitions and clear characteristics of both roles (3 points), uses reasonably simple language (2 points), and briefly touches on why false 9s are used in modern football (1 point), but the examples given (Messi, Lewandowski, Kane) lack concrete detail about how they functioned in specific matches or teams, and some characterizations are questionable (Lewandowski is primarily a traditional striker)."
Q004,CONCEPT,medium,football-dpo-v2,3,"The response provides an incorrect definition (confusing high line with sweeper positioning and describing the opposite of what it actually is), contains no concrete examples of real teams or matches, and while using accessible language, fundamentally misunderstands the concept by describing the last defender as being ahead of others rather than the defensive line being pushed up collectively near the halfway line."
Q005,CONCEPT,easy,football-dpo-v2,2,"The response fundamentally misdefines ""playing out from the back,"" incorrectly describing it as long balls and counter-pressing when it actually means building up play with short passes from the goalkeeper and defenders. The explanation contradicts the actual meaning of the term throughout, earning minimal points only for attempting to address team tactics and using accessible language in parts."
Q006,CONCEPT,easy,football-dpo-v2,8,"The response provides a clear, accurate definition and detailed execution steps in accessible language, earning full marks for clarity and simplicity. However, while it mentions teams known for counter-attacking, it lacks a concrete match example showing the tactic in action, and the ""when/why"" rationale could be more explicitly stated (though it's implied throughout)."
Q007,CONCEPT,easy,football-dpo-v2,3,"The response contains numerous fundamental errors that severely undermine accuracy, including an incorrect definition of set pieces (mentioning goalkeeper position), wrong descriptions of free kicks and corner kicks (stating defending team takes them when attacking team does), and confused throw-in/goal kick definitions. While the language is relatively simple and there's some attempt to explain usage, the pervasive factual inaccuracies make this response misleading rather than helpful."
Q008,CONCEPT,easy,football-dpo-v2,8,"The response provides a comprehensive and accurate definition with clear explanations of key responsibilities (3/3), includes multiple concrete examples of target men like Drogba and Ibrahimović (3/3), uses reasonably accessible language though somewhat technical in places (1.5/2), and touches on tactical usage but could be more explicit about specific game situations when teams deploy this role (1.5/2)."
Q009,CONCEPT,easy,football-dpo-v2,4,"The response fails to accurately define an overlap run (which is typically when a fullback runs outside/beyond their winger, not diagonal runs to center), lacks concrete real-match examples, and uses overly complex language with invented terms like ""overload overload"" and misapplied concepts like ""false 9 overlap"" that would confuse rather than clarify for non-experts."
Q010,CONCEPT,easy,football-dpo-v2,6,"The response provides a clear definition with key characteristics (3 points) and good examples of teams using it (3 points), but includes significant inaccuracies (point 4 about ""no-look passing"" is incorrect and irrelevant to low block), uses technical jargon that reduces accessibility (1/2 points), and adequately explains when/why teams use it (2 points)."
